,collectionName,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,total_volume,total_sales,total_supply,num_owners,average_price,market_cap,floor_price
832,no_brainers_official,0.0,0.0,0.0,0.0,0.07500000000000001,-0.5454517906169127,2.0,0.037500000000000006,88.74075924389993,996.0,2471.0,1173.0,0.08909714783524089,92.66250000000001,0.0
833,ghettosharkhood,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,55.89121000000001,571.0,2330.0,822.0,0.09788302977232927,0.0,0.0
834,angry_penguins_grotto_gang,0.0519,2.153098420413124,8.0,0.0064875,0.07146000000000001,0.043287831228556756,24.0,0.0029775,11.315976011111113,859.0,8768.0,4629.0,0.013173429582201529,26.106720000000003,0.0
835,frenchfellas,0.5,0.0,1.0,0.5,0.55,0.10000000000000009,2.0,0.275,5.2764,28.0,1055.0,360.0,0.18844285714285713,290.125,0.0
836,official_moar_by_joan_cornella,11.577,-0.36840898951117595,14.0,0.8269285714285715,84.49699989999998,0.5852027959389821,95.0,0.889442104210526,11631.585697282957,7528.0,5555.0,3266.0,1.5451096834860463,4940.850888889472,0.0
837,bunny_buddies,2.697200000000001,-0.19433633859141472,24.0,0.11238333333333338,17.785288999999977,0.4556902892728387,177.0,0.10048185875706202,2579.070793462874,11418.0,8888.0,4065.0,0.2258776312368956,893.0827606327672,0.0
838,prime_kong_planet_by_pap,1.4178000000000002,0.3203699047299753,13.0,0.10906153846153847,10.864869999999993,-0.14858343694818588,104.0,0.10446990384615377,5030.510829574929,7815.0,9740.0,5247.0,0.6436994023768303,1017.5368634615378,0.0
839,nudie_community_official,0.2033,1.1836734693877549,5.0,0.04066,0.6333000000000002,-0.6423650327535577,20.0,0.03166500000000001,1556.5108316248354,11571.0,10000.0,4720.0,0.13451826390327848,316.6500000000001,0.0
840,primeapeplanetpap,1.409,0.406187624750499,6.0,0.23483333333333334,14.192000000000002,-0.6278182423446877,46.0,0.30852173913043485,29616.603075946387,15696.0,7979.0,4824.0,1.8868885751749735,2461.6949565217396,0.0
841,house_of_legends,0.093,-0.46242774566473993,2.0,0.0465,0.6870000000000003,-0.650324377075146,19.0,0.03615789473684212,1224.8559923672267,6020.0,9993.0,2466.0,0.20346445055933998,361.3258421052633,0.0
842,8thwonders,0.0,0.0,0.0,0.0,0.019,0.0,1.0,0.019,158.25843779079125,687.0,1111.0,547.0,0.23036162706083152,21.109,0.0
843,ogcats_harvest_galaxy,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,38.11843443999998,388.0,1000.0,423.0,0.09824338773195872,0.0,0.0
844,psychedelics_anonymous_genesis,27.976,1.5068100358422938,14.0,1.9982857142857142,174.76254,-0.11956774782830659,83.0,2.1055727710843373,23734.33194912179,15877.0,9595.0,5836.0,1.494887695982981,20202.970738554217,0.0
845,kbaofficial,0.018999,-0.6114723926380369,2.0,0.0094995,0.5855990000000001,2.720451080050827,32.0,0.018299968750000003,719.2542404081119,8021.0,10000.0,5377.0,0.08967139264532002,182.99968750000002,0.0
846,ballerbearsnft,0.1,0.5384615384615385,1.0,0.1,1.1360000000000001,8.878260869565217,9.0,0.12622222222222224,353.2635228214397,2322.0,4444.0,1192.0,0.15213760672757956,560.9315555555556,0.0
847,crazy_babies_official,0.0,-1.0,0.0,0.0,0.0586,0.0,9.0,0.006511111111111111,497.20230575154983,2374.0,3902.0,2217.0,0.20943652306299487,25.406355555555557,0.0
848,illuminaticollective,3.0297999999999994,1.0430209035738363,14.0,0.21641428571428567,11.787148248461653,0.9983806061799738,59.0,0.19978217370273987,4641.938784489683,9583.0,8128.0,3447.0,0.48439306944481714,1623.8295078558697,0.0
849,budverse_cans_heritage_edition,0.0,0.0,0.0,0.0,1.024,-0.7670445368076457,4.0,0.256,1565.2397424939074,2777.0,1907.0,1234.0,0.5636441276535497,488.192,0.0
850,metahero_generative,11.14,0.26734926052332214,5.0,2.228,81.21900000000001,0.13997498817482457,28.0,2.9006785714285717,15581.95365693622,2882.0,6748.0,301.0,5.406645960075025,19573.779000000002,0.0
851,samuraicats_by_hiro_ando,0.0,-1.0,0.0,0.0,0.273,-0.4863593603010348,10.0,0.0273,1002.2622968033478,4631.0,4747.0,1921.0,0.21642459442957196,129.59310000000002,0.0
852,rowdyroos,0.0,-1.0,0.0,0.0,0.678,-0.24825368666149247,16.0,0.042375,561.1363276399964,4320.0,9999.0,3750.0,0.12989266843518435,423.707625,0.0
853,sleepy_sloth_society_by_zzz_labs,0.15,0.0,1.0,0.15,0.4999,-0.7252496606154539,3.0,0.16663333333333333,106.03926509279879,1101.0,2222.0,815.0,0.09631177574277819,370.2592666666667,0.0
854,the_nifty_way_galaxy_official,0.0,-1.0,0.0,0.0,0.14,-0.11949685534591188,2.0,0.07,14.419600944219884,146.0,4123.0,2332.0,0.09876439002890332,288.61,0.0
855,nonfungiblealiens,0.08499999999999999,-0.782608695652174,2.0,0.042499999999999996,0.6440000000000001,-0.5284814760579877,17.0,0.03788235294117648,245.50794252606892,1552.0,4141.0,2143.0,0.1581881072977248,156.8708235294118,0.0
856,queenapes,3.4362999999999997,0.11282748793678514,20.0,0.171815,21.35855000000001,-0.3576748778191216,157.0,0.136041719745223,490.2600029740586,2652.0,8888.0,2235.0,0.18486425451510505,1209.138805095542,0.0
857,apocalyptic_apes,3.7521999999999998,-0.11621859704825227,16.0,0.23451249999999998,31.440989999999985,-0.4280842188593117,135.0,0.23289622222222212,7846.195362964844,13421.0,8888.0,3522.0,0.5846207706553047,2069.98162311111,0.0
858,typical_tigers,0.1775,-0.5975056689342404,3.0,0.059166666666666666,1.9689999999999999,-0.4558742779418506,29.0,0.06789655172413793,146.35847410900058,2406.0,3900.0,1465.0,0.06083062099293457,264.7965517241379,0.0
859,spacebugs,0.0,-1.0,0.0,0.0,0.022,0.0,1.0,0.022,125.87116888887999,558.0,3333.0,767.0,0.22557557148544802,73.326,0.0
860,officialbusinessapeclub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.69795107704493,539.0,1696.0,637.0,0.14229675524498134,0.0,0.0
861,analogsummer,0.169,0.134228187919463,3.0,0.05633333333333334,1.2560000000000002,12.22105263157895,7.0,0.17942857142857147,89.20599978486098,580.0,1234.0,567.0,0.15380344790493272,221.4148571428572,0.0
862,strangehands_official,0.0589,-0.49224137931034484,1.0,0.0589,0.8889,-0.21586097388849693,12.0,0.074075,170.67660534799055,1990.0,3000.0,901.0,0.08576713836582439,222.225,0.0
863,thecybernites,0.0,-1.0,0.0,0.0,0.009,0.0,1.0,0.009,104.5476449900003,1227.0,3100.0,900.0,0.08520590463732705,27.9,0.0
864,themetapreneursofficial,0.559,0.20995670995670987,7.0,0.07985714285714286,4.431500000000001,0.6595830576099837,65.0,0.0681769230769231,775.8882791626183,3531.0,11111.0,5614.0,0.21973613117038185,757.5137923076924,0.0
865,sliderverse_by_che_yu_wu_x_white_castle,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,16.363079999999997,171.0,1279.0,533.0,0.09569052631578945,0.0,0.0
866,samuraisaga,0.20500000000000002,-0.8540821410776568,2.0,0.10250000000000001,3.252500000000001,-0.6518105849582173,24.0,0.13552083333333337,2659.262412398658,9547.0,9999.0,1440.0,0.27854429793638397,1355.0728125000003,0.0
867,etherminators,0.0,0.0,0.0,0.0,0.273,1.3947368421052635,3.0,0.09100000000000001,50.20906462978008,823.0,4127.0,1581.0,0.061007368930473975,375.557,0.0
868,grandpaapecountryclub,1.571,-0.6092039800995025,3.0,0.5236666666666666,27.949899999999992,-0.30377977940077505,49.0,0.5704061224489795,442.65470256165463,617.0,5000.0,1773.0,0.7174306362425521,2852.0306122448974,0.0
869,metamoxie_genesis,0.0005,0.0,1.0,0.0005,0.0005,0.0,1.0,0.0005,7.786714732847628,195.0,1430.0,704.0,0.03993187042485963,0.715,0.0
870,metafans_collection,0.044,-0.7410058391410812,1.0,0.044,2.152107,0.05936323227549908,44.0,0.04891152272727273,33.72973700000003,486.0,3729.0,1119.0,0.06940275102880664,182.39106825,0.0
871,apex_optimizers_official,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,13.054160000000001,105.0,888.0,423.0,0.12432533333333334,0.0,0.0
